YEAR,WEEK,PROVINCE,DOSE,VACCINATIONS
2021,23,Oost-Vlaanderen,B,98425.0
2021,23,Oost-Vlaanderen,C,10778.0
2021,23,Vlaams-Brabant,A,142178.0
2021,23,Vlaams-Brabant,B,88073.0
2021,23,Vlaams-Brabant,C,9881.0
2021,23,West-Vlaanderen,A,161178.0
2021,23,West-Vlaanderen,B,95326.0
2021,23,West-Vlaanderen,C,12383.0
2021,24,Antwerpen,A,226802.0
2021,24,Antwerpen,B,127831.0
2021,24,Antwerpen,C,21201.0
2021,24,Brabant Wallon,A,47370.0
2021,24,Brabant Wallon,B,36285.0
2021,24,Brabant Wallon,C,854.0
2021,24,Brussels,A,106704.0
2021,24,Brussels,B,72802.0
2021,24,Brussels,C,1109.0
2021,24,Hainaut,A,111629.0
2021,24,Hainaut,B,75722.0
2021,24,Hainaut,C,4935.0
2021,24,Limburg,A,112983.0
2021,24,Limburg,B,60752.0
2021,24,Limburg,C,14935.0
2021,24,Liège,A,117672.0
2021,24,Liège,B,81632.0
2021,24,Liège,C,3482.0
2021,24,Luxembourg,A,32977.0
2021,24,Luxembourg,B,27590.0
2021,24,Luxembourg,C,481.0
2021,24,Namur,A,54748.0
2021,24,Namur,B,36597.0
2021,24,Namur,C,4999.0
2021,24,Oost-Vlaanderen,A,178384.0
2021,24,Oost-Vlaanderen,B,100749.0
2021,24,Oost-Vlaanderen,C,21281.0
2021,24,Vlaams-Brabant,A,143107.0
2021,24,Vlaams-Brabant,B,90244.0
2021,24,Vlaams-Brabant,C,15874.0
2021,24,West-Vlaanderen,A,162213.0
2021,24,West-Vlaanderen,B,98989.0
2021,24,West-Vlaanderen,C,16137.0
2021,25,Antwerpen,A,228498.0
2021,25,Antwerpen,B,131301.0
2021,25,Antwerpen,C,21787.0
2021,25,Brabant Wallon,A,47742.0
2021,25,Brabant Wallon,B,37605.0
2021,25,Brabant Wallon,C,889.0
2021,25,Brussels,A,110467.0
2021,25,Brussels,B,78086.0
2021,25,Brussels,C,2146.0
2021,25,Hainaut,A,112937.0
2021,25,Hainaut,B,79643.0
2021,25,Hainaut,C,5288.0
2021,25,Limburg,A,113261.0
2021,25,Limburg,B,63092.0
2021,25,Limburg,C,15959.0
2021,25,Liège,A,118998.0
2021,25,Liège,B,87244.0
2021,25,Liège,C,3607.0
2021,25,Luxembourg,A,33202.0
2021,25,Luxembourg,B,28304.0
2021,25,Luxembourg,C,483.0
2021,25,Namur,A,55052.0
2021,25,Namur,B,38956.0
2021,25,Namur,C,5052.0
2021,25,Oost-Vlaanderen,A,183332.0
2021,25,Oost-Vlaanderen,B,105460.0
2021,25,Oost-Vlaanderen,C,21641.0
2021,25,Vlaams-Brabant,A,148724.0
2021,25,Vlaams-Brabant,B,92551.0
2021,25,Vlaams-Brabant,C,16366.0
2021,25,West-Vlaanderen,A,162466.0
2021,25,West-Vlaanderen,B,102812.0
2021,25,West-Vlaanderen,C,16532.0
2021,26,Antwerpen,A,232114.0
2021,26,Antwerpen,B,141061.0
2021,26,Antwerpen,C,22306.0
2021,26,Brabant Wallon,A,47936.0
2021,26,Brabant Wallon,B,39594.0
2021,26,Brabant Wallon,C,902.0
2021,26,Brussels,A,113895.0
2021,26,Brussels,B,82601.0
2021,26,Brussels,C,3925.0
2021,26,Hainaut,A,113786.0
